"Action","Vendor GSL ID","Available To Ship Date (mm/dd/yyyy)","PO Number","PO Release Number","PO Line Number","PO Shipment Number","Item Number","Item Description","Total Quantity","Received Quantity","Open Quantity","Quantity Available To Ship","In Process Quantity","Need By Date (mm/dd/yyyy)","Promise Date (mm/dd/yyyy)","Destination Org","Unit Price Amount","Total Price","Currency Code","Buyer Name","Payment Term","Creation Date (mm/dd/yyyy)"
"NEW","S13010","10-30-2026","174548743","","1","1","84B108875P1","BUS BAR, 7"" X 4.25""","15","","15","15","","11-10-2026","","Z63 - Erie, PA","33.96","509.4","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","01-13-2027","174548731","","1","1","8839974G1","Armature","32","","32","32","","01-22-2027","","EEM-Erie Electronics Manufacturing","12.3","393.6","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","10-23-2026","174548766","","1","1","84B108876P1","BUS BAR, 7"" X 5.38""","15","","15","15","","11-03-2026","","Z63 - Erie, PA","33.96","509.4","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","10-30-2026","174548525","","1","1","84C620843P1","Terminal","15","","15","15","","11-10-2026","","EPM-B6","108.92","1633.8","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","11-03-2026","174547867","","1","1","84B108875P1","BUS BAR, 7"" X 4.25""","24","","24","24","","11-16-2026","","TXD - Texas Locomotive Distribution","33.96","815.04","USD","Tiffany DeMeritt","Net 150 Qrtly","05-06-2026"
"NEW","S13010","12-07-2026","174548522","","1","1","41A296332AJP3","Clamp","85","","85","85","","12-16-2026","","EEM-Erie Electronics Manufacturing","98.74","8392.9","USD","James Green","Net 150 Qrtly","05-06-2026"
"NEW","S13010","02-04-2027","174547598","","1","1","41C626910P1","Card Holder - 7 Slots","35","","35","35","","02-19-2027","","Wabtec Plainfield Warehouse","141.65","4957.75","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"NEW","S13010","01-07-2027","174547452","","1","1","41B551952G1","Shunt, Contactor","144","","144","144","","01-22-2027","","Wabtec Plainfield Warehouse","18.79","2705.76","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"NEW","S13010","05-11-2026","174547383","","1","1","84D718635G4","Bus Ring       T0","5","","5","5","","05-20-2026","","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"NEW","S13010","04-27-2026","174547382","","1","1","84D718635G4","Bus Ring       T0","5","","5","5","","05-06-2026","","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"NEW","S13010","05-11-2026","174547381","","1","1","84D718635G3","Bus Ring       T3","5","","5","5","","05-20-2026","","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"NEW","S13010","05-11-2026","174547380","","1","1","84D718635G2","Bus Ring       T2","5","","5","5","","05-20-2026","","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"NEW","S13010","04-27-2026","174547379","","1","1","84D718635G2","Bus Ring       T2","10","","10","10","","05-06-2026","","B063 -Erie Parts Whs","1509.37","15093.7","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"NEW","S13010","05-11-2026","174547378","","1","1","84D718635G1","Bus Ring       T1","5","","5","5","","05-20-2026","","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"NEW","S13010","04-27-2026","174547377","","1","1","84D718635G1","Bus Ring       T1","10","","10","10","","05-06-2026","","B063 -Erie Parts Whs","1532.43","15324.3","USD","Valeria Parra","Net 150 Qrtly","05-06-2026"
"ACCEPTED","S13010","10-23-2026","174539809","","1","1","84B108876P1","BUS BAR, 7"" X 5.38""","65","","65","65","","11-05-2026","11-05-2026","TXO - Texas OHV Manufacturing","33.96","2207.4","USD","Alfonso Escobar","Net 150 Qrtly","05-01-2026"
"ACCEPTED","S13010","09-25-2026","210450348","","1","1","8868241AAP16","Terminal 775/24","100","","100","100","","10-13-2026","10-13-2026","XST - Saltillo Mfg","15.42","1542","USD","Edison Granados","Net 150 Qrtly","05-05-2026"
"ACCEPTED","S13010","10-28-2026","174537308","","1","1","84B108876P1","BUS BAR, 7"" X 5.38""","42","","42","42","","11-10-2026","11-10-2026","TXD - Texas Locomotive Distribution","33.96","1426.32","USD","Tiffany DeMeritt","Net 150 Qrtly","04-30-2026"
"ACCEPTED","S13010","05-21-2026","174516742","","1","1","8868241AAP13","Terminal","41","","41","41","","06-05-2026","06-05-2026","Wabtec Plainfield Warehouse","10.7","438.7","USD","Valeria Parra","Net 150 Qrtly","04-16-2026"
"ACCEPTED","S13010","12-29-2026","174524881","","1","1","8839974G1","Armature","38","","38","38","","01-07-2027","01-07-2027","EEM-Erie Electronics Manufacturing","12.3","467.4","USD","James Green","Net 150 Qrtly","04-21-2026"
"ACCEPTED","S13010","12-02-2026","174546415","","1","1","482A946G2","Contact","20","","20","20","","12-11-2026","12-11-2026","EEM-Erie Electronics Manufacturing","36.98","739.6","USD","James Green","Net 150 Qrtly","05-05-2026"
"ACCEPTED","S13010","10-29-2026","174539590","","1","1","84B108875P1","BUS BAR, 7"" X 4.25""","30","","30","30","","11-11-2026","11-11-2026","TXD - Texas Locomotive Distribution","33.96","1018.8","USD","Tiffany DeMeritt","Net 150 Qrtly","05-01-2026"
"ACCEPTED","S13010","10-16-2026","174543848","","1","1","8868241AAP17","Terminal  St,925/24-3/8,2ho","60","","60","60","","10-27-2026","10-27-2026","EPM-B6","20.92","1255.2","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","11-24-2026","174546443","","1","1","482A946G2","Contact","14","","14","14","","12-03-2026","12-03-2026","EEM-Erie Electronics Manufacturing","36.98","517.72","USD","James Green","Net 150 Qrtly","05-05-2026"
"ACCEPTED","S13010","12-08-2026","174546512","","1","1","8868241AAP16","Terminal 775/24","34","","34","34","","12-17-2026","12-17-2026","EPM-B6","15.42","524.28","USD","James Green","Net 150 Qrtly","05-05-2026"
"ACCEPTED","S13010","01-26-2027","174537383","","1","1","84A214757P1","Terminal, 1600 V, 1325/24 cable","93","","93","93","","02-04-2027","02-04-2027","EPM-B6","21.7","2018.1","USD","James Green","Net 150 Qrtly","04-30-2026"
"ACCEPTED","S13010","01-04-2027","174526420","","1","1","41C626910P1","Card Holder - 7 Slots","55","","55","55","","01-22-2027","01-22-2027","Wabtec Reno Warehouse","141.65","7790.75","USD","Valeria Parra","Net 150 Qrtly","04-22-2026"
"ACCEPTED","S13010","02-11-2027","174539057","","1","1","8868241AAP20","Terminal, St 1600/24 3/8 2 Holes","144","","144","144","","02-26-2027","02-26-2027","Wabtec Plainfield Warehouse","20.15","2901.6","USD","Valeria Parra","Net 150 Qrtly","05-01-2026"
"ACCEPTED","S13010","10-27-2026","174546695","","1","1","8834202G1","Armature","9","","9","9","","11-05-2026","11-05-2026","EEM-Erie Electronics Manufacturing","49.54","445.86","USD","James Green","Net 150 Qrtly","05-05-2026"
"ACCEPTED","S13010","02-08-2027","174542360","","1","1","8868241AAP16","Terminal 775/24","147","","147","147","","02-17-2027","02-17-2027","ECM-Erie Cab Manufacturing","15.42","2266.74","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","10-29-2026","174539591","","1","1","84B108876P1","BUS BAR, 7"" X 5.38""","35","","35","35","","11-11-2026","11-11-2026","TXD - Texas Locomotive Distribution","33.96","1188.6","USD","Tiffany DeMeritt","Net 150 Qrtly","05-01-2026"
"ACCEPTED","S13010","10-26-2026","174537186","","1","1","8834202G1","Armature","19","","19","19","","11-04-2026","11-04-2026","EEM-Erie Electronics Manufacturing","49.54","941.26","USD","James Green","Net 150 Qrtly","04-30-2026"
"ACCEPTED","S13010","09-30-2026","174537272","","1","1","84A204082ABP1","CONNECTN STRIP","60","","60","60","","10-13-2026","10-13-2026","TXL - Texas Locomotive Manufacturing","10.38","622.8","USD","Tiffany DeMeritt","Net 150 Qrtly","04-30-2026"
"ACCEPTED","S13010","03-16-2027","174536085","","1","1","8868241AAP20","Terminal, St 1600/24 3/8 2 Holes","177","","177","177","","03-25-2027","03-25-2027","EPM-B6","28.53","5049.81","USD","James Green","Net 150 Qrtly","04-29-2026"
"ACCEPTED","S13010","04-09-2026","174512264","","1","1","8868241AAP17","Terminal  St,925/24-3/8,2ho","24","","24","24","","04-24-2026","09-04-2026","Wabtec Plainfield Warehouse","20.92","502.08","USD","Valeria Parra","Net 150 Qrtly","04-13-2026"
"ACCEPTED","S13010","12-23-2026","174528561","","1","1","84A214757P1","Terminal, 1600 V, 1325/24 cable","26","","26","26","","01-08-2027","01-08-2027","LVR-Las Vegas NV-NC","21.7","564.2","USD","Rosa Cantu","Net 150 Qrtly","04-23-2026"
"ACCEPTED","S13010","01-07-2027","174514479","","1","1","84A214757P1","Terminal, 1600 V, 1325/24 cable","128","","128","128","","01-18-2027","01-18-2027","EPM-B6","21.7","2777.6","USD","James Green","Net 150 Qrtly","04-14-2026"
"ACCEPTED","S13010","01-20-2027","174435621","","1","1","8868241AAP16","Terminal 775/24","36","","36","36","","01-29-2027","01-29-2027","ELM-B10","15.42","555.12","USD","James Green","Net 150 Qrtly","02-15-2026"
"ACCEPTED","S13010","07-01-2026","174378867","","1","1","84A214757P1","Terminal, 1600 V, 1325/24 cable","26","","26","26","","07-17-2026","07-17-2026","LVR-Las Vegas NV-NC","21.7","564.2","USD","Rosa Cantu","Net 150 Qrtly","01-01-2026"
"ACCEPTED","S13010","01-05-2027","174403396","","1","1","8868241AAP16","Terminal 775/24","36","","36","36","","01-14-2027","01-14-2027","ELM-B10","15.42","555.12","USD","James Green","Net 150 Qrtly","01-23-2026"
"ACCEPTED","S13010","02-03-2027","174429437","","1","1","8868241AAP16","Terminal 775/24","36","","36","36","","02-12-2027","02-12-2027","ELM-B10","15.42","555.12","USD","James Green","Net 150 Qrtly","02-13-2026"
"ACCEPTED","S13010","06-16-2026","174364724","","1","1","84A214757P1","Terminal, 1600 V, 1325/24 cable","26","","26","26","","07-02-2026","07-02-2026","LVR-Las Vegas NV-NC","21.7","564.2","USD","Rosa Cantu","Net 150 Qrtly","12-12-2025"
"ACCEPTED","S13010","04-16-2026","174542089","","1","1","41A296332AJP3","Clamp","10","","10","10","","05-04-2026","08-07-2026","PSM - Piedmont South Carolina","98.74","987.4","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","05-13-2026","174542090","","1","1","41A296332AJP3","Clamp","20","","20","20","","05-29-2026","08-07-2026","PSM - Piedmont South Carolina","98.74","1974.8","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","05-27-2026","174542091","","1","1","41A296332AJP3","Clamp","20","","20","20","","06-12-2026","08-07-2026","PSM - Piedmont South Carolina","98.74","1974.8","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","07-22-2026","174542172","","1","1","41A296332AJP3","Clamp","40","","40","40","","08-07-2026","05-05-2026","PSM - Piedmont South Carolina","98.74","3949.6","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","12-03-2026","174542395","","1","1","41A296332AJP3","Clamp","29","","29","29","","12-14-2026","05-05-2026","EEM-Erie Electronics Manufacturing","98.74","2863.46","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","06-24-2026","174542170","","1","1","41A296332AJP3","Clamp","40","","40","40","","07-10-2026","05-05-2026","PSM - Piedmont South Carolina","98.74","3949.6","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","09-02-2026","174542175","","1","1","41A296332AJP3","Clamp","60","","60","60","","09-18-2026","05-05-2026","PSM - Piedmont South Carolina","98.74","5924.4","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","08-05-2026","174542173","","1","1","41A296332AJP3","Clamp","40","","40","40","","08-21-2026","05-05-2026","PSM - Piedmont South Carolina","98.74","3949.6","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","06-10-2026","174542092","","1","1","41A296332AJP3","Clamp","10","","10","10","","06-26-2026","08-07-2026","PSM - Piedmont South Carolina","98.74","987.4","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","07-08-2026","174542171","","1","1","41A296332AJP3","Clamp","40","","40","40","","07-24-2026","05-05-2026","PSM - Piedmont South Carolina","98.74","3949.6","USD","James Green","Net 150 Qrtly","05-03-2026"
"ACCEPTED","S13010","08-19-2026","174542174","","1","1","41A296332AJP3","Clamp","50","","50","50","","09-04-2026","05-05-2026","PSM - Piedmont South Carolina","98.74","4937","USD","James Green","Net 150 Qrtly","05-03-2026"
"CANCELLED","S13010","07-20-2026","174358916","","1","1","84D718635G3","Bus Ring       T3","","","","","","07-29-2026","07-29-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","12-08-2025"
"CANCELLED","S13010","01-21-2026","174391422","","1","1","84D718635G2","Bus Ring       T2","","","","","","01-30-2026","02-13-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","01-04-2027","174391421","","1","1","84D718635G1","Bus Ring       T1","","","","","","01-13-2027","10-28-2026","B063 -Erie Parts Whs","1532.43","15324.3","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","03-22-2027","174496882","","1","1","84D718635G2","Bus Ring       T2","","","","","","03-31-2027","03-31-2027","B063 -Erie Parts Whs","1577.29","7886.45","USD","Valeria Parra","Net 150 Qrtly","04-01-2026"
"CANCELLED","S13010","02-02-2026","174391423","","1","1","84D718635G2","Bus Ring       T2","","","","","","02-11-2026","02-11-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","03-22-2027","174496879","","1","1","84D718635G1","Bus Ring       T1","","","","","","03-31-2027","","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","04-01-2026"
"CANCELLED","S13010","11-30-2026","174389415","","1","1","84D718635G4","Bus Ring       T0","","","","","","12-09-2026","12-09-2026","B063 -Erie Parts Whs","1767.69","17676.9","USD","Valeria Parra","Net 150 Qrtly","01-13-2026"
"CANCELLED","S13010","02-01-2027","174392684","","1","1","84D718635G3","Bus Ring       T3","","","","","","02-10-2027","11-16-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","01-15-2026"
"CANCELLED","S13010","01-11-2027","174387874","","1","1","84D718635G1","Bus Ring       T1","","","","","","01-20-2027","12-23-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","01-12-2026"
"CANCELLED","S13010","02-02-2026","174199499","","1","1","84D718635G3","Bus Ring       T3","","","","","","02-11-2026","02-11-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","07-28-2025"
"CANCELLED","S13010","05-01-2026","174388034","","1","1","84D718635G1","Bus Ring       T1","","","","","","05-12-2026","05-12-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","01-12-2026"
"CANCELLED","S13010","02-10-2026","174391437","","1","1","84D718635G4","Bus Ring       T0","","","","","","02-19-2026","02-19-2026","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","01-11-2027","174387879","","1","1","84D718635G3","Bus Ring       T3","","","","","","01-20-2027","10-27-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","01-12-2026"
"CANCELLED","S13010","07-13-2026","174361382","","1","1","84D718635G1","Bus Ring       T1","","","","","","07-22-2026","07-22-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","12-10-2025"
"CANCELLED","S13010","01-21-2026","174358918","","1","1","84D718635G4","Bus Ring       T0","","","","","","01-30-2026","02-13-2026","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","12-08-2025"
"CANCELLED","S13010","01-21-2026","174391417","","1","1","84D718635G1","Bus Ring       T1","","","","","","01-30-2026","02-13-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","04-27-2026","174361383","","1","1","84D718635G2","Bus Ring       T2","","","","","","05-06-2026","05-06-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","12-10-2025"
"CANCELLED","S13010","09-28-2026","174387871","","1","1","84D718635G4","Bus Ring       T0","","","","","","10-07-2026","10-07-2026","B063 -Erie Parts Whs","1767.69","17676.9","USD","Valeria Parra","Net 150 Qrtly","01-12-2026"
"CANCELLED","S13010","08-10-2026","174358923","","1","1","84D718635G1","Bus Ring       T1","","","","","","08-19-2026","08-19-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","12-08-2025"
"CANCELLED","S13010","02-02-2026","174389442","","1","1","84D718635G1","Bus Ring       T1","","","","","","02-11-2026","02-11-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","01-13-2026"
"CANCELLED","S13010","01-18-2027","174394297","","1","1","84D718635G4","Bus Ring       T0","","","","","","01-27-2027","11-03-2026","B063 -Erie Parts Whs","1767.69","17676.9","USD","Valeria Parra","Net 150 Qrtly","01-16-2026"
"CANCELLED","S13010","03-22-2027","174446939","","1","1","84D718635G3","Bus Ring       T3","","","","","","03-31-2027","01-06-2027","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","02-23-2026"
"CANCELLED","S13010","02-02-2026","174319943","","1","1","84D718635G2","Bus Ring       T2","","","","","","02-11-2026","02-11-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","11-02-2025"
"CANCELLED","S13010","04-20-2026","174358922","","1","1","84D718635G1","Bus Ring       T1","","","","","","04-29-2026","04-29-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","12-08-2025"
"CANCELLED","S13010","05-01-2026","174358911","","1","1","84D718635G2","Bus Ring       T2","","","","","","05-12-2026","05-12-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","12-08-2025"
"CANCELLED","S13010","02-26-2027","174458022","","1","1","84D718635G1","Bus Ring       T1","","","","","","03-09-2027","01-13-2027","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","03-05-2026"
"CANCELLED","S13010","04-13-2026","174391432","","1","1","84D718635G3","Bus Ring       T3","","","","","","04-22-2026","04-22-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","04-27-2026","174391438","","1","1","84D718635G4","Bus Ring       T0","","","","","","05-06-2026","05-06-2026","B063 -Erie Parts Whs","1767.69","17676.9","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","09-07-2026","174388035","","1","1","84D718635G1","Bus Ring       T1","","","","","","09-16-2026","09-16-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","01-12-2026"
"CANCELLED","S13010","09-07-2026","174361384","","1","1","84D718635G2","Bus Ring       T2","","","","","","09-16-2026","09-16-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","12-10-2025"
"CANCELLED","S13010","01-04-2027","174387876","","1","1","84D718635G2","Bus Ring       T2","","","","","","01-13-2027","10-21-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","01-12-2026"
"CANCELLED","S13010","11-05-2026","174391420","","1","1","84D718635G1","Bus Ring       T1","","","","","","11-16-2026","11-16-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","04-13-2026","174361381","","1","1","84D718635G1","Bus Ring       T1","","","","","","04-22-2026","04-22-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","12-10-2025"
"CANCELLED","S13010","04-13-2026","174199486","","1","1","84D718635G2","Bus Ring       T2","","","","","","04-22-2026","04-22-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","07-28-2025"
"CANCELLED","S13010","07-06-2026","174203651","","1","1","84D718635G4","Bus Ring       T0","","","","","","07-15-2026","07-15-2026","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","07-31-2025"
"CANCELLED","S13010","10-12-2026","174391419","","1","1","84D718635G1","Bus Ring       T1","","","","","","10-21-2026","10-21-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","09-07-2026","174361388","","1","1","84D718635G4","Bus Ring       T0","","","","","","09-16-2026","09-16-2026","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","12-10-2025"
"CANCELLED","S13010","03-15-2027","174496883","","1","1","84D718635G3","Bus Ring       T3","","","","","","03-24-2027","03-24-2027","B063 -Erie Parts Whs","1608.71","8043.55","USD","Valeria Parra","Net 150 Qrtly","04-01-2026"
"CANCELLED","S13010","08-14-2026","174387873","","1","1","84D718635G4","Bus Ring       T0","","","","","","08-25-2026","08-25-2026","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","01-12-2026"
"CANCELLED","S13010","11-05-2026","174373523","","1","1","84D718635G2","Bus Ring       T2","","","","","","11-16-2026","11-16-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","12-18-2025"
"CANCELLED","S13010","04-06-2026","174361387","","1","1","84D718635G4","Bus Ring       T0","","","","","","04-15-2026","04-15-2026","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","12-10-2025"
"CANCELLED","S13010","01-21-2026","174202183","","1","1","84D718635G1","Bus Ring       T1","","","","","","01-30-2026","02-13-2026","B063 -Erie Parts Whs","1532.43","7662.15","USD","Valeria Parra","Net 150 Qrtly","07-30-2025"
"CANCELLED","S13010","02-09-2026","174391430","","1","1","84D718635G3","Bus Ring       T3","","","","","","02-18-2026","02-18-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","11-23-2026","174391435","","1","1","84D718635G3","Bus Ring       T3","","","","","","12-02-2026","12-02-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","06-01-2026","174361385","","1","1","84D718635G3","Bus Ring       T3","","","","","","06-10-2026","06-10-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","12-10-2025"
"CANCELLED","S13010","04-27-2026","174361386","","1","1","84D718635G3","Bus Ring       T3","","","","","","05-06-2026","05-06-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","12-10-2025"
"CANCELLED","S13010","02-22-2027","174446938","","1","1","84D718635G3","Bus Ring       T3","","","","","","03-03-2027","12-09-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","02-23-2026"
"CANCELLED","S13010","08-10-2026","174391425","","1","1","84D718635G2","Bus Ring       T2","","","","","","08-19-2026","08-19-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","04-20-2026","174391424","","1","1","84D718635G2","Bus Ring       T2","","","","","","04-29-2026","04-29-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","07-13-2026","174391426","","1","1","84D718635G2","Bus Ring       T2","","","","","","07-22-2026","07-22-2026","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","01-14-2026"
"CANCELLED","S13010","08-10-2026","174358917","","1","1","84D718635G3","Bus Ring       T3","","","","","","08-19-2026","08-19-2026","B063 -Erie Parts Whs","1539.44","7697.2","USD","Valeria Parra","Net 150 Qrtly","12-08-2025"
"CANCELLED","S13010","02-02-2026","174358936","","1","1","84D718635G4","Bus Ring       T0","","","","","","02-11-2026","02-11-2026","B063 -Erie Parts Whs","1767.69","8838.45","USD","Valeria Parra","Net 150 Qrtly","12-08-2025"
"CANCELLED","S13010","01-11-2027","174394296","","1","1","84D718635G2","Bus Ring       T2","","","","","","01-20-2027","01-20-2027","B063 -Erie Parts Whs","1509.37","7546.85","USD","Valeria Parra","Net 150 Qrtly","01-16-2026"
